DATE,YardCpu
1597381183000,41.2690124667
1597382083000,42.3825162
1597382983000,41.8564633111
1597383883000,41.5699469778
1597384783000,40.9171522222
1597385683000,42.1397936444
1597386583000,41.2223145111
1597387483000,41.3809080222
1597388383000,41.1858290667
1597389283000,42.6302713556
1597390183000,41.3310562444
1597391083000,41.2060870222
1597391983000,40.8553106889
1597392883000,41.2207328222
1597393783000,41.4623146
1597394683000,41.0144516444
1597395583000,39.7435430889
1597396483000,39.9625467778
1597397383000,37.8652494
1597398283000,37.3390912
1597399183000,37.1194725556
1597400083000,37.0004284444
1597400983000,35.9900172444
1597401883000,35.5894544889
1597402783000,35.806712
1597403683000,36.8359729778
1597404583000,36.0374478
1597405483000,36.1875554
1597406383000,36.2475389778
1597407283000,37.3399471111
1597408183000,35.8221100444
1597409083000,35.6207184667
1597409983000,36.1334799111
1597410883000,37.1992894222
1597411783000,35.9388767556
1597412683000,36.0973082222
1597413583000,36.9085115111
1597414483000,37.1994197778
1597415383000,35.8287622222
1597416283000,37.9469339111
1597417183000,37.9039277333
1597418083000,40.8106304889
1597418983000,38.9524443778
1597419883000,38.0869531556
1597420783000,38.4531724222
1597421683000,39.0193846667
1597422583000,37.5296897778
1597423483000,37.8046905333
1597424383000,38.2539494667
1597425283000,38.6683488222
1597426183000,38.3580433556
1597427083000,37.5594703778
1597427983000,37.5176077778
1597428883000,38.1641420222
1597429783000,36.9100122889
1597430683000,36.7696243778
1597431583000,36.8364836667
1597432483000,37.8253969333
1597433383000,36.6991288889
1597434283000,36.5703354889
1597435183000,36.4253399333
1597436083000,37.4264086889
1597436983000,36.3483966667
1597437883000,37.3084750889
1597438783000,37.1089733333
1597439683000,38.4189459111
1597440583000,38.1628652889
1597441483000,37.2757338667
1597442383000,37.411977
1597443283000,38.8053775333
1597444183000,37.8228909333
1597445083000,38.3894251778
1597445983000,38.2159124444
1597446883000,39.9579184889
1597447783000,38.2530133111
1597448683000,38.8052124889
1597449583000,38.4532146222
1597450483000,37.4009186444
1597451383000,37.0382967111
1597452283000,38.065484
1597453183000,37.0905751333
1597454083000,39.2430996667
1597454983000,37.6496889778
1597455883000,38.7821471111
1597456783000,38.7670023556
1597457683000,39.2597154667
1597458583000,39.3099237556
1597459483000,38.8055149556
1597460383000,38.9142375111
1597461283000,40.2531655556
1597462183000,39.2484867778
1597463083000,38.6416632222
1597463983000,38.9156183333
1597464883000,39.9909044
1597465783000,38.7554941333
1597466683000,38.9600819556
1597467583000,38.8946420444
1597468483000,40.1929195556
1597469383000,40.1955610222
1597470283000,39.5239198889
1597471183000,39.9006565111
1597472083000,40.6765457778
1597472983000,38.9355748
1597473883000,39.2211386
1597474783000,38.7765232222
1597475683000,40.3426710222
1597476583000,39.4283738667
1597477483000,39.2636669778
1597478383000,39.6815696222
1597479283000,40.1384376667
1597480183000,39.2245673333
1597481083000,38.5442333778
1597481983000,38.9747260222
1597482883000,40.1414152444
1597483783000,39.3659204222
1597484683000,39.1689286667
1597485583000,39.1513458889
1597486483000,40.2501278667
1597487383000,39.3672668444
1597488283000,39.3627528667
1597489183000,39.8672798222
1597490083000,39.2974488
1597490983000,39.2927488
1597491883000,39.2731198222
1597492783000,39.3183993778
1597493683000,41.2559370667
1597494583000,39.4886282667
1597495483000,38.3211169778
1597496383000,39.8412596667
1597497283000,40.1815008222
1597498183000,39.2958250889
1597499083000,38.3670742
1597499983000,39.0129300444
1597500883000,39.6107022
1597501783000,39.2407988667
1597502683000,38.8428107111
1597503583000,38.9985874222
1597504484001,41.0606983778
1597505384001,39.2122888444
1597506284001,38.8817289778
1597507184001,38.6612126889
1597508084001,40.4628013778
1597508984001,38.6441127778
1597509884001,38.7652109778
1597510784001,39.0202662667
1597511684001,38.9722498222
1597512584001,38.5747796444
1597513484001,38.3579619778
1597514384001,38.0777058444
1597515284001,38.8225464889
1597516184001,37.7535234222
1597517084001,37.8313266222
1597517984001,37.7713634444
1597518884001,38.7412139111
1597519784001,37.2367547333
1597520684001,37.3089388667
1597521584001,37.6373854222
1597522484001,39.1693739778
1597523384001,37.1034466
1597524284001,37.3817785111
1597525184001,37.4971641111
1597526084001,38.5214733111
1597526984001,37.3602001333
1597527884001,37.3497325333
1597528784001,37.3321059778
1597529684001,38.6314978
1597530584001,37.4668211778
1597531484001,37.5330207556
1597532382985,38.5553071556
1597533282985,39.3431126889
1597534182985,38.9615359778
1597535082985,38.6881039778
1597535982985,38.3991691556
1597536882985,36.7645977111
1597537782985,36.7047800667
1597538683986,36.3421118222
1597539583986,37.5966968222
1597540483986,38.7485683111
1597541383986,36.4510628444
1597542283986,38.2817339111
1597543183986,37.9526640889
1597544084000,38.9189323778
1597544984000,38.2415293778
1597545884000,38.7917232444
1597546784000,38.6692429333
1597547684000,39.0588697556
1597548584000,38.655277
1597549484000,39.0345859556
1597550384000,38.2149837111
1597551284000,39.33061
1597552184000,38.496343
1597553084000,38.9105621333
1597553984000,39.1733864667
1597554884000,39.9605276222
1597555784000,39.7348492
1597556684000,39.4896684222
1597557584000,39.6900332889
1597558484000,40.1583653333
1597559384000,39.2007444222
1597560284000,39.3843055778
1597561184000,39.6602574667
1597562084000,40.4084753111
1597562984000,39.2846369556
1597563884000,39.8970684889
1597564784000,39.6308137778
1597565684000,39.4415074444
1597566584000,37.4963523778
1597567484000,39.9880226889
1597568384000,40.5285415111
1597569284000,41.3546255778
1597570184000,40.5626792444
1597571084000,39.1635976222
1597571984000,39.5668907556
1597572884000,39.5537280667
1597573784000,39.2517340889
1597574684000,40.0440550222
1597575584000,39.7879182222
1597576484000,40.1304157778
1597577384000,39.2120491778
1597578284000,39.4560874889
1597579184000,39.6479164
1597580084000,40.9743398667
1597580984000,41.2159698667
1597581884000,41.1137878889
1597582784000,41.2715962889
1597583684000,41.7425170444
1597584584000,40.5680170222
1597585484000,40.2589804
1597586384000,40.1404258444
1597587284000,39.9242369556
1597588184000,39.6048833556
1597589084000,39.5801889778
1597589984000,39.3141997111
1597590884000,40.4556331333
1597591784000,39.8070667333
1597592684000,40.0167372667
1597593584000,39.0427998889
1597594484000,41.1163828889
1597595384000,39.8729070667
1597596284000,39.2981198889
1597597184000,40.2563450222
1597598084000,40.6121793333
1597598984000,40.2004735778
1597599884000,39.4997226222
1597600784000,38.7628368
1597601684000,39.3090762889
1597602584000,38.4115845556
1597603484000,38.1888838222
1597604384000,38.1852993778
1597605284000,39.3920094889
1597606184000,37.7683681111
1597607084000,37.3667108889
1597607984000,37.9557866222
1597608884000,39.2597112222
1597609784000,38.8020674
1597610684000,39.3391349333
1597611584000,39.2663783111
1597612484000,40.0162785333
1597613384000,38.7991621333
1597614284000,38.7485750889
1597615184000,38.0939140667
1597616084000,39.6835708444
1597616984000,38.5903502222
1597617884000,39.0579040444
1597618784000,38.8073808444
1597619684000,40.7278618222
1597620584000,39.2688649111
1597621484000,39.8348488667
1597622384000,39.7414352
1597623284000,39.7924130222
1597624184000,38.5356400889
1597625084000,36.8549759111
1597625984000,38.6252434222
1597626884000,39.7834349111
1597627784000,38.0784968222
1597628684000,38.7612852444
1597629584000,38.9081051333
1597630484000,40.6375356222
1597631384000,39.8710899556
1597632284000,40.4174000667
1597633184000,40.1358563333
1597634084000,40.7617618
1597634984000,39.1407407556
1597635884000,38.9581037111
1597636784000,39.8758033778
1597637684000,40.9411785556
1597638584000,40.3845743778
1597639484000,40.2598514667
1597640384000,40.1399983111
1597641284000,41.6270737556
1597642184000,40.8641251778
1597643084000,41.2569023778
1597643684000,41.1567122593
1597644884000,41.783815
1597645784000,40.810101
1597646684000,42.2111004667
1597647584000,41.9222829556
1597648484000,42.6862920667
1597649384000,41.1784676889
1597650284000,41.0373810444
1597651184000,40.8438609778
1597652084000,41.8396936222
1597652984000,40.9247163333
1597653885002,40.7856290889
1597654785002,40.6965844222
1597655685002,41.7043696444
1597656585002,40.6826973778
1597657485002,40.9262842
1597658385002,40.8679622222
1597659285002,40.9504655333
1597660185002,40.8522144444
